arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,test,65,rare,269.2,42,1,620.4,232.4,462,450,396.1,396.7
trace,test,66,rare,291.5,31,1,229.6,611.8,433,403,387.7,407.4
trace,test,67,rare,412.8,50,1,646.6,353.4,247,457,400.7,404.7
trace,test,68,rare,271.6,49,1,212.1,462.4,452,335,391.3,407.6
trace,test,69,rare,350.2,116,1,659.4,451.8,315,515,404.7,409.8
trace,test,70,rare,292.8,22,1,594.8,231.1,405,454,414.2,400.9
trace,test,71,rare,269.2,22,1,627.3,619.1,400,475,424.8,411.8
trace,test,72,rare,330.0,24,1,605.1,247.6,389,497,433.8,403.6
trace,test,73,rare,338.9,34,1,453.7,654.7,467,316,434.8,416.2
trace,test,74,rare,434.4,49,1,400.1,197.8,489,623,433.1,405.2
trace,test,75,rare,293.1,28,1,380.4,640.5,451,356,430.5,417.0
trace,test,76,frequent,418.8,155,1,143.6,156.8,426,466,416.1,404.0
trace,test,77,rare,311.8,44,1,492.0,590.9,238,410,419.9,413.3
trace,test,78,rare,344.2,223,1,657.7,588.3,336,466,431.8,422.1
trace,test,79,frequent,275.0,22,1,176.6,356.9,407,507,419.0,418.8
trace,exposure,0,frequent,268.9,22,1,153.0,293.8,400,400,387.7,394.7
trace,exposure,1,frequent,262.2,33,1,155.9,147.1,294,370,376.1,382.3
trace,exposure,2,frequent,128.8,9,1,348.4,348.2,277,241,374.7,380.6
trace,exposure,3,rare,300.3,26,1,527.3,153.5,389,420,382.3,369.2
trace,exposure,4,frequent,257.1,37,1,163.2,164.3,340,351,371.4,359.0
trace,exposure,5,rare,302.1,28,1,563.3,503.7,329,313,381.0,366.2
trace,exposure,6,rare,361.4,27,1,155.8,604.8,416,354,369.7,378.2
trace,exposure,7,frequent,304.7,22,1,190.9,208.6,388,441,360.8,369.7
trace,exposure,8,frequent,288.3,27,1,399.5,195.4,257,446,362.7,361.0
trace,exposure,9,frequent,307.6,127,1,152.4,144.0,360,371,352.2,350.1
trace,exposure,10,rare,253.5,23,1,518.5,548.8,369,344,360.5,360.1
trace,exposure,11,frequent,361.1,150,1,199.9,171.8,363,494,352.5,350.6
trace,exposure,12,frequent,76.3,5,1,276.4,235.9,290,311,348.7,344.9
trace,exposure,13,frequent,162.2,100,1,184.5,314.1,271,177,340.4,343.4
trace,exposure,14,frequent,176.6,11,1,202.3,229.1,332,349,333.5,337.7
trace,exposure,15,frequent,83.6,6,1,243.4,291.7,324,314,329.0,335.4
trace,exposure,16,rare,281.8,42,1,436.0,590.2,356,320,334.4,348.1
trace,exposure,17,frequent,257.2,19,1,251.5,225.5,395,439,330.2,342.0
trace,exposure,18,rare,400.6,42,1,596.1,167.5,263,390,343.5,333.2
trace,exposure,19,frequent,271.3,19,1,159.0,185.7,359,369,334.3,325.9
trace,exposure,20,frequent,101.9,8,1,363.8,388.6,326,294,335.8,329.0
trace,exposure,21,frequent,274.4,49,1,189.3,147.3,395,329,328.5,319.9
trace,exposure,22,frequent,258.2,172,1,151.2,193.4,321,388,319.6,313.6
trace,exposure,23,frequent,91.1,7,1,206.3,281.5,291,248,313.9,312.0
trace,exposure,24,rare,270.3,23,1,507.1,567.7,384,327,323.6,324.8
trace,exposure,25,rare,276.9,28,1,557.6,658.3,398,432,335.3,341.5
trace,exposure,26,frequent,273.2,201,1,153.4,153.9,368,323,326.2,332.1
trace,exposure,27,frequent,288.0,27,1,209.1,142.1,295,417,320.3,322.6
trace,exposure,28,frequent,102.4,8,1,233.5,160.3,270,256,316.0,314.5
trace,exposure,29,frequent,285.7,22,1,193.0,142.1,364,371,309.8,305.8
trace,exposure,30,frequent,116.9,10,1,209.2,307.7,326,301,304.8,305.9
trace,exposure,31,rare,298.9,29,1,406.6,615.9,358,321,309.9,321.4
trace,exposure,32,frequent,290.6,27,1,281.1,174.1,359,454,308.5,314.1
trace,exposure,33,frequent,281.6,71,1,141.8,183.7,353,370,300.1,307.5
trace,exposure,34,rare,414.3,69,1,654.9,510.5,312,278,317.9,317.7
trace,exposure,35,frequent,331.0,22,1,192.3,231.4,439,452,311.6,313.4
trace,exposure,36,rare,335.1,26,1,570.8,588.9,363,326,324.5,327.2
trace,exposure,37,frequent,283.0,116,1,233.6,156.1,393,390,320.0,318.6
trace,exposure,38,frequent,261.2,55,1,362.6,157.6,273,403,322.1,310.6
trace,exposure,39,frequent,96.9,7,1,311.2,388.2,323,292,321.6,314.4
trace,exposure,40,frequent,259.8,20,1,215.5,157.1,360,373,316.3,306.6
trace,exposure,41,frequent,251.0,17,1,160.6,223.0,354,383,308.5,302.4
trace,exposure,42,rare,255.3,24,1,575.5,413.1,339,317,321.8,307.9
trace,exposure,43,frequent,260.7,196,1,333.5,151.2,355,411,322.4,300.1
trace,exposure,44,rare,359.1,35,1,561.1,149.6,206,203,334.4,292.6
trace,exposure,45,rare,304.2,28,1,167.7,599.1,396,398,326.0,307.9
trace,exposure,46,frequent,253.5,19,1,166.0,176.0,365,333,318.0,301.3
trace,exposure,47,frequent,260.6,67,1,155.5,141.0,339,326,309.9,293.3
trace,exposure,48,frequent,252.0,22,1,298.4,201.2,404,430,309.3,288.7
trace,exposure,49,rare,428.6,43,1,657.8,182.0,267,358,326.8,283.3
trace,exposure,50,frequent,250.7,20,1,197.5,170.4,366,356,320.3,277.7
trace,exposure,51,frequent,132.9,11,1,217.7,275.5,344,317,315.2,277.6
trace,exposure,52,frequent,293.1,311,1,153.1,208.5,418,334,307.1,274.1
trace,exposure,53,rare,386.7,69,1,614.4,407.9,239,315,322.4,280.8
trace,exposure,54,rare,326.3,25,1,626.3,172.2,425,429,337.6,275.4
trace,exposure,55,frequent,316.3,29,1,257.7,361.3,569,305,333.6,279.7
trace,exposure,56,frequent,31.2,1,1,369.0,300.8,338,297,335.4,280.7
trace,exposure,57,frequent,259.3,32,1,185.4,178.7,386,343,327.9,275.6
trace,exposure,58,frequent,263.1,23,1,149.9,349.2,396,442,319.0,279.3
trace,exposure,59,rare,356.9,30,1,519.1,149.0,217,339,329.0,272.8
trace,exposure,60,rare,349.0,112,1,642.2,580.9,368,365,344.7,288.2
trace,exposure,61,frequent,267.5,26,1,207.9,366.5,475,381,337.8,292.1
trace,exposure,62,frequent,263.5,146,1,194.6,196.6,345,413,330.7,287.3
trace,exposure,63,frequent,158.9,12,1,370.1,190.0,288,326,332.6,282.5
trace,exposure,64,frequent,283.6,156,1,146.9,325.1,423,390,323.3,284.6
trace,exposure,65,rare,391.7,133,1,582.3,657.6,366,331,336.3,303.3
trace,exposure,66,frequent,296.8,36,1,203.9,215.5,429,409,329.7,298.9
trace,exposure,67,frequent,48.0,2,1,239.3,315.3,263,357,325.2,299.7
