arm,block,goal_idx,region,spawn_dist,steps,reached,goal_x,goal_y,spawn_px,spawn_py,trace_cx,trace_cy
trace,test,57,rare,278.3,21,1,619.5,219.9,404,396,390.8,412.0
trace,test,58,rare,263.7,85,1,635.4,311.7,394,418,403.0,406.9
trace,test,59,rare,318.1,92,1,649.7,246.2,399,442,415.4,398.9
trace,test,60,rare,253.1,22,1,194.2,427.5,429,333,404.3,400.3
trace,test,61,rare,371.7,36,1,156.7,498.3,510,383,391.9,405.2
trace,test,62,rare,319.7,27,1,176.1,640.8,392,405,381.1,417.0
trace,test,63,rare,252.1,24,1,483.0,176.4,411,418,386.2,405.0
trace,test,64,rare,311.4,27,1,636.7,590.2,387,404,398.7,414.2
trace,test,65,rare,268.7,26,1,628.4,445.5,372,365,410.2,415.8
trace,test,66,frequent,321.0,29,1,283.2,143.9,407,440,403.9,402.2
trace,test,67,rare,321.2,31,1,597.2,379.3,277,405,413.5,401.1
trace,test,68,rare,257.2,21,1,289.7,598.1,438,388,407.4,410.9
trace,test,69,rare,259.0,88,1,656.0,427.5,397,427,419.8,411.7
trace,test,70,rare,367.1,159,1,657.6,179.8,409,450,431.7,400.1
trace,test,71,rare,308.0,27,1,194.7,538.6,465,391,419.8,407.1
trace,test,72,frequent,276.1,28,1,380.3,178.1,296,441,417.9,395.6
trace,test,73,frequent,352.6,31,1,145.6,199.6,443,389,404.2,385.8
trace,test,74,rare,283.4,25,1,266.0,634.0,405,387,397.3,398.2
trace,test,75,rare,251.5,19,1,212.9,566.6,388,386,388.1,406.6
trace,test,76,rare,363.8,33,1,577.6,228.7,242,369,397.6,397.7
trace,test,77,frequent,289.9,38,1,149.4,192.3,343,408,385.2,387.5
trace,test,78,rare,354.2,134,1,537.1,492.2,368,181,392.8,392.7
trace,test,79,frequent,281.3,190,1,252.7,157.9,389,404,385.8,381.0
trace,exposure,0,frequent,268.9,51,1,153.0,293.8,400,400,387.7,394.7
trace,exposure,1,frequent,305.1,138,1,161.7,173.1,386,380,376.4,383.6
trace,exposure,2,frequent,365.5,32,1,149.9,140.7,397,410,365.0,371.5
trace,exposure,3,rare,327.8,89,1,647.8,204.6,366,372,379.2,363.1
trace,exposure,4,rare,366.6,413,1,654.4,610.0,390,356,392.9,375.5
trace,exposure,5,rare,250.5,25,1,399.0,627.4,391,377,393.2,388.1
trace,exposure,6,rare,279.5,22,1,578.7,585.7,414,360,402.5,397.9
trace,exposure,7,frequent,309.1,263,1,325.2,164.2,382,468,398.6,386.3
trace,exposure,8,frequent,271.7,113,1,207.7,292.4,447,421,389.1,381.6
trace,exposure,9,rare,274.6,38,1,641.8,488.2,389,381,401.7,386.9
trace,exposure,10,rare,311.1,27,1,654.6,256.9,364,368,414.4,380.4
trace,exposure,11,frequent,365.1,145,1,155.9,147.1,422,397,401.5,368.7
trace,exposure,12,frequent,260.8,23,1,387.3,290.5,248,511,400.7,364.8
trace,exposure,13,frequent,314.2,122,1,180.2,141.6,397,369,389.7,353.7
trace,exposure,14,frequent,266.9,665,1,143.8,237.8,390,341,377.4,347.9
trace,exposure,15,frequent,259.3,199,1,191.9,151.4,373,337,368.1,338.0
trace,exposure,16,frequent,290.1,40,1,308.4,159.1,401,434,365.2,329.1
trace,exposure,17,rare,337.9,167,1,614.4,531.2,358,311,377.6,339.2
trace,exposure,18,frequent,321.8,504,1,146.5,168.1,386,383,366.1,330.6
trace,exposure,19,rare,273.0,24,1,503.8,610.3,384,365,372.9,344.6
trace,exposure,20,rare,316.2,125,1,260.3,652.3,368,355,367.3,360.0
trace,exposure,21,frequent,257.0,58,1,209.3,176.2,391,358,359.4,350.8
trace,exposure,22,rare,316.1,26,1,657.3,264.8,391,435,374.3,346.5
trace,exposure,23,frequent,355.0,32,1,277.1,152.6,399,486,369.4,336.8
trace,exposure,24,frequent,287.4,104,1,150.2,168.8,370,354,358.5,328.4
trace,exposure,25,frequent,255.7,74,1,180.2,148.5,367,323,349.6,319.4
trace,exposure,26,frequent,269.7,267,1,166.6,162.4,349,361,340.4,311.6
trace,exposure,27,frequent,260.6,27,1,196.3,172.2,382,355,333.2,304.6
trace,exposure,28,frequent,95.9,7,1,295.0,238.7,330,328,331.3,301.3
trace,exposure,29,frequent,176.2,212,1,255.0,142.1,331,301,327.5,293.3
trace,exposure,30,rare,295.2,29,1,611.0,468.7,319,425,341.7,302.1
trace,exposure,31,frequent,390.2,36,1,316.1,198.9,166,559,340.4,297.0
trace,exposure,32,frequent,266.5,113,1,149.3,140.8,339,328,330.8,289.1
trace,exposure,33,frequent,13.1,1,1,325.7,306.2,336,298,330.6,290.0
