arm,block,goal_idx,mean_dist_to_quad_center
trace,test,39,327.2
trace,test,40,108.1
trace,test,41,240.3
trace,test,42,171.1
trace,test,43,220.8
trace,test,44,361.2
trace,test,45,376.1
trace,test,46,204.1
trace,test,47,207.9
trace,test,48,251.7
trace,test,49,244.6
trace,test,50,92.9
trace,test,51,233.4
trace,test,52,141.0
trace,test,53,238.1
trace,test,54,359.5
trace,test,55,418.0
trace,test,56,221.3
trace,test,57,221.1
trace,test,58,223.1
trace,test,59,203.1
trace,test,60,210.3
trace,test,61,302.9
trace,test,62,160.3
trace,test,63,179.1
trace,test,64,172.6
trace,test,65,155.8
trace,test,66,277.0
trace,test,67,394.6
trace,test,68,231.5
trace,test,69,118.5
trace,test,70,300.0
trace,test,71,108.3
trace,test,72,346.1
trace,test,73,267.0
trace,test,74,207.8
trace,test,75,352.1
trace,test,76,159.0
trace,test,77,143.4
trace,test,78,250.1
trace,test,79,173.4
trace,exposure,0,337.7
trace,exposure,1,353.4
trace,exposure,2,160.5
trace,exposure,3,105.3
trace,exposure,4,155.4
trace,exposure,5,109.7
trace,exposure,6,111.7
trace,exposure,7,281.6
trace,exposure,8,71.8
trace,exposure,9,55.8
trace,exposure,10,102.8
trace,exposure,11,216.3
trace,exposure,12,80.7
trace,exposure,13,337.7
trace,exposure,14,129.7
trace,exposure,15,147.0
trace,exposure,16,46.1
trace,exposure,17,107.2
trace,exposure,18,193.0
trace,exposure,19,51.0
trace,exposure,20,109.0
trace,exposure,21,80.0
trace,exposure,22,204.7
trace,exposure,23,57.2
trace,exposure,24,335.4
trace,exposure,25,130.4
trace,exposure,26,45.3
trace,exposure,27,102.3
trace,exposure,28,176.5
trace,exposure,29,150.8
trace,exposure,30,99.0
trace,exposure,31,103.9
trace,exposure,32,151.8
trace,exposure,33,60.1
trace,exposure,34,435.7
trace,exposure,35,119.8
trace,exposure,36,60.9
trace,exposure,37,92.8
trace,exposure,38,204.9
trace,exposure,39,68.9
trace,exposure,40,138.8
trace,exposure,41,78.2
trace,exposure,42,181.5
trace,exposure,43,65.6
trace,exposure,44,68.9
trace,exposure,45,174.7
trace,exposure,46,136.3
trace,exposure,47,99.9
trace,exposure,48,228.1
trace,exposure,49,54.4
trace,exposure,50,167.1
trace,exposure,51,67.1
trace,exposure,52,239.2
trace,exposure,53,62.3
trace,exposure,54,108.8
trace,exposure,55,109.3
trace,exposure,56,207.0
trace,exposure,57,72.6
trace,exposure,58,111.0
trace,exposure,59,380.5
trace,exposure,60,46.5
trace,exposure,61,86.2
trace,exposure,62,190.6
trace,exposure,63,112.3
trace,exposure,64,89.8
trace,exposure,65,105.4
trace,exposure,66,117.1
trace,exposure,67,89.9
trace,exposure,68,75.4
trace,exposure,69,311.5
trace,exposure,70,175.8
trace,exposure,71,107.0
trace,exposure,72,343.1
trace,exposure,73,302.5
trace,exposure,74,265.6
trace,exposure,75,102.0
trace,exposure,76,113.6
trace,exposure,77,118.1
trace,exposure,78,399.8
trace,exposure,79,88.7
trace,exposure,80,90.3
trace,exposure,81,84.0
trace,exposure,82,67.9
trace,exposure,83,77.2
trace,exposure,84,222.2
trace,exposure,85,52.1
trace,exposure,86,83.6
trace,exposure,87,85.5
trace,exposure,88,74.8
trace,exposure,89,304.5
trace,exposure,90,109.6
trace,exposure,91,206.5
trace,exposure,92,180.7
trace,exposure,93,82.5
trace,exposure,94,77.4
trace,exposure,95,280.8
trace,exposure,96,61.1
trace,exposure,97,91.7
trace,exposure,98,150.6
trace,exposure,99,130.5
trace,exposure,100,175.8
trace,exposure,101,289.0
trace,exposure,102,79.9
trace,exposure,103,72.5
trace,exposure,104,75.9
trace,exposure,105,302.9
trace,exposure,106,258.3
trace,exposure,107,65.2
trace,exposure,108,84.2
trace,exposure,109,255.9
trace,exposure,110,68.6
trace,exposure,111,170.7
trace,exposure,112,98.4
trace,exposure,113,253.4
trace,exposure,114,58.3
trace,exposure,115,87.7
trace,exposure,116,82.1
trace,exposure,117,79.5
trace,exposure,118,119.1
trace,exposure,119,103.0
trace,test,0,260.8
trace,test,1,71.9
trace,test,2,83.0
trace,test,3,315.6
trace,test,4,151.9
trace,test,5,307.8
trace,test,6,82.4
trace,test,7,313.9
trace,test,8,266.4
trace,test,9,65.1
trace,test,10,234.2
trace,test,11,277.2
trace,test,12,301.5
trace,test,13,169.6
trace,test,14,143.6
trace,test,15,273.3
trace,test,16,109.1
trace,test,17,183.8
trace,test,18,232.1
trace,test,19,231.7
trace,test,20,237.8
trace,test,21,201.2
trace,test,22,212.2
trace,test,23,303.5
trace,test,24,116.2
trace,test,25,187.2
trace,test,26,319.3
trace,test,27,80.2
trace,test,28,205.3
trace,test,29,378.5
trace,test,30,255.6
trace,test,31,150.2
trace,test,32,177.9
trace,test,33,239.7
trace,test,34,183.1
trace,test,35,215.0
trace,test,36,343.5
trace,test,37,131.3
trace,test,38,134.3
trace,test,39,275.2
trace,test,40,86.9
trace,test,41,121.4
trace,test,42,287.8
trace,test,43,342.3
trace,test,44,163.0
trace,test,45,82.5
trace,test,46,179.3
trace,test,47,374.8
trace,test,48,182.4
trace,test,49,72.1
trace,test,50,318.9
trace,test,51,71.0
trace,test,52,249.7
trace,test,53,89.0
trace,test,54,252.6
trace,test,55,325.8
trace,test,56,203.3
trace,test,57,146.3
trace,test,58,217.6
trace,test,59,212.4
trace,test,60,83.1
trace,test,61,279.1
trace,test,62,149.2
trace,test,63,124.4
trace,test,64,72.6
trace,test,65,226.9
trace,test,66,428.6
trace,test,67,204.9
trace,test,68,313.8
trace,test,69,257.6
trace,test,70,134.6
trace,test,71,327.0
trace,test,72,257.0
trace,test,73,331.0
trace,test,74,195.3
trace,test,75,283.6
trace,test,76,332.3
trace,test,77,282.1
trace,test,78,80.3
trace,test,79,264.3
