arm,block,goal_idx,region,spawn_dist,steps,reached
trace,test,4,rare,543.5,44,1
trace,test,5,rare,272.5,125,1
trace,test,6,rare,292.6,26,1
trace,test,7,rare,346.4,51,1
trace,test,8,rare,261.8,19,1
trace,test,9,rare,251.3,19,1
trace,test,10,rare,268.6,27,1
trace,test,11,rare,347.6,46,1
trace,test,12,rare,313.2,77,1
trace,test,13,frequent,252.4,58,1
trace,test,14,rare,266.6,54,1
trace,test,15,frequent,306.6,76,1
trace,test,16,rare,268.0,26,1
trace,test,17,rare,363.5,36,1
trace,test,18,rare,303.3,66,1
trace,test,19,rare,258.6,64,1
trace,test,20,rare,368.2,66,1
trace,test,21,rare,268.0,73,1
trace,test,22,frequent,341.3,26,1
trace,test,23,rare,365.4,58,1
trace,test,24,rare,379.1,54,1
trace,test,25,rare,307.3,26,1
trace,test,26,rare,419.1,39,1
trace,test,27,rare,301.4,22,1
trace,test,28,frequent,288.2,28,1
trace,test,29,rare,259.1,25,1
trace,test,30,rare,297.5,26,1
trace,test,31,rare,291.1,149,1
trace,test,32,rare,311.1,27,1
trace,test,33,rare,339.1,31,1
trace,test,34,rare,337.5,80,1
trace,test,35,rare,255.5,23,1
trace,test,36,rare,393.3,39,1
trace,test,37,rare,288.5,28,1
trace,test,38,rare,295.9,26,1
trace,test,39,rare,314.1,71,1
trace,test,40,rare,357.9,131,1
trace,test,41,frequent,326.4,24,1
trace,test,42,rare,425.3,47,1
trace,test,43,rare,270.2,26,1
trace,test,44,rare,273.4,38,1
trace,test,45,rare,323.0,49,1
trace,test,46,frequent,265.1,20,1
trace,test,47,rare,406.8,42,1
trace,test,48,rare,339.7,43,1
trace,test,49,frequent,568.8,104,1
trace,test,50,frequent,288.0,27,1
trace,test,51,rare,322.9,121,1
trace,test,52,frequent,366.4,66,1
trace,test,53,frequent,323.1,35,1
trace,test,54,rare,278.5,26,1
trace,test,55,rare,354.3,52,1
trace,test,56,rare,264.3,124,1
trace,test,57,rare,297.2,43,1
trace,test,58,rare,446.1,68,1
trace,test,59,rare,264.8,22,1
trace,test,60,frequent,251.6,19,1
trace,test,61,rare,275.4,25,1
trace,test,62,rare,416.7,51,1
trace,test,63,frequent,272.8,54,1
trace,test,64,rare,268.5,75,1
trace,test,65,rare,273.2,24,1
trace,test,66,rare,285.5,32,1
trace,test,67,frequent,278.9,21,1
trace,test,68,rare,339.9,93,1
trace,test,69,rare,323.9,174,1
trace,test,70,rare,303.8,23,1
trace,test,71,frequent,252.8,25,1
trace,test,72,rare,299.7,29,1
trace,test,73,frequent,445.8,37,1
trace,test,74,rare,263.0,25,1
trace,test,75,rare,409.3,39,1
trace,test,76,rare,281.4,84,1
trace,test,77,rare,258.1,39,1
trace,test,78,rare,282.8,66,1
trace,test,79,rare,268.0,27,1
control,exposure,0,frequent,275.3,75,1
control,exposure,1,frequent,259.6,84,1
control,exposure,2,frequent,278.6,22,1
control,exposure,3,frequent,274.0,31,1
