arm,seed,trial,drift
fitted,101,110,0.78000
fitted,101,111,1.54000
fitted,101,112,-0.44000
fitted,101,113,-1.34000
fitted,101,114,-0.22000
fitted,101,115,-0.08000
fitted,101,116,0.08000
fitted,101,117,-0.12000
fitted,101,118,-0.48000
fitted,101,119,0.62000
fitted,101,120,0.58000
fitted,101,121,-0.92000
fitted,101,122,1.18000
fitted,101,123,1.34000
fitted,101,124,0.44000
fitted,101,125,2.30000
fitted,101,126,0.68000
fitted,101,127,0.78000
fitted,101,128,-0.60000
fitted,101,129,0.28000
fitted,101,130,2.20000
fitted,101,131,2.00000
fitted,101,132,1.38000
fitted,101,133,-0.50000
fitted,101,134,-1.46000
fitted,101,135,-0.20000
fitted,101,136,1.56000
fitted,101,137,1.08000
fitted,101,138,-0.62000
fitted,101,139,1.10000
fitted,101,140,0.24000
fitted,101,141,-1.82000
fitted,101,142,-0.82000
fitted,101,143,-0.58000
fitted,101,144,1.16000
fitted,101,145,0.62000
fitted,101,146,0.72000
fitted,101,147,1.52000
fitted,101,148,-1.28000
fitted,101,149,1.76000
fitted,101,150,1.76000
fitted,101,151,0.66000
fitted,101,152,-0.52000
fitted,101,153,-0.24000
fitted,101,154,-0.04000
fitted,101,155,2.08000
fitted,101,156,-0.86000
fitted,101,157,-0.68000
fitted,101,158,0.24000
fitted,101,159,-0.38000
fitted,101,160,0.32000
fitted,101,161,2.28000
fitted,101,162,1.60000
fitted,101,163,0.76000
fitted,101,164,0.76000
fitted,101,165,1.16000
fitted,101,166,0.06000
fitted,101,167,-0.54000
fitted,101,168,2.12000
fitted,101,169,-1.22000
fitted,101,170,-0.74000
fitted,101,171,-2.14000
fitted,101,172,-0.86000
fitted,101,173,-0.14000
fitted,101,174,-0.28000
fitted,101,175,-1.10000
fitted,101,176,-0.40000
fitted,101,177,0.32000
fitted,101,178,-0.44000
fitted,101,179,-1.28000
fitted,102,1,-1.00000
fitted,102,2,-3.86000
fitted,102,3,-0.44000
fitted,102,4,2.78000
fitted,102,5,1.44000
fitted,102,6,1.66000
fitted,102,7,-1.90000
fitted,102,8,2.26000
fitted,102,9,3.32000
fitted,102,10,2.64000
fitted,102,11,3.22000
fitted,102,12,0.30000
fitted,102,13,0.24000
fitted,102,14,-0.46000
fitted,102,15,3.26000
fitted,102,16,-1.72000
fitted,102,17,1.82000
fitted,102,18,3.68000
fitted,102,19,-2.22000
fitted,102,20,0.30000
fitted,102,21,-2.34000
fitted,102,22,2.82000
fitted,102,23,0.58000
fitted,102,24,1.54000
fitted,102,25,-1.62000
fitted,102,26,1.76000
fitted,102,27,2.38000
fitted,102,28,4.00000
fitted,102,29,2.88000
fitted,102,30,-1.66000
fitted,102,31,3.58000
fitted,102,32,-2.34000
fitted,102,33,1.74000
fitted,102,34,-1.76000
fitted,102,35,2.22000
fitted,102,36,1.60000
fitted,102,37,2.70000
fitted,102,38,2.40000
fitted,102,39,-1.78000
fitted,102,40,3.28000
fitted,102,41,-0.80000
fitted,102,42,-2.92000
fitted,102,43,-2.22000
fitted,102,44,1.20000
fitted,102,45,1.26000
fitted,102,46,2.72000
fitted,102,47,1.26000
fitted,102,48,-0.84000
fitted,102,49,2.50000
fitted,102,50,0.78000
fitted,102,51,-2.70000
fitted,102,52,1.72000
fitted,102,53,-2.04000
fitted,102,54,3.14000
fitted,102,55,2.44000
fitted,102,56,-4.44000
fitted,102,57,3.60000
fitted,102,58,2.88000
fitted,102,59,-0.92000
fitted,102,60,-0.70000
fitted,102,61,-1.92000
fitted,102,62,2.30000
fitted,102,63,-2.38000
fitted,102,64,1.86000
fitted,102,65,1.38000
fitted,102,66,2.40000
fitted,102,67,2.66000
fitted,102,68,-1.32000
fitted,102,69,-1.30000
fitted,102,70,-2.84000
fitted,102,71,-1.48000
fitted,102,72,1.60000
fitted,102,73,2.32000
fitted,102,74,1.26000
fitted,102,75,1.46000
fitted,102,76,2.90000
fitted,102,77,-1.94000
fitted,102,78,-2.88000
fitted,102,79,-1.48000
fitted,102,80,3.14000
fitted,102,81,-2.22000
fitted,102,82,-1.62000
fitted,102,83,-2.34000
fitted,102,84,2.30000
fitted,102,85,1.78000
fitted,102,86,2.58000
fitted,102,87,1.42000
fitted,102,88,0.74000
fitted,102,89,-1.04000
fitted,102,90,-2.66000
fitted,102,91,-2.74000
fitted,102,92,-0.94000
fitted,102,93,-3.58000
fitted,102,94,-2.68000
fitted,102,95,-0.18000
fitted,102,96,2.24000
fitted,102,97,-1.90000
fitted,102,98,-2.12000
fitted,102,99,2.98000
fitted,102,100,-1.60000
fitted,102,101,-1.20000
fitted,102,102,-2.50000
fitted,102,103,0.66000
fitted,102,104,2.04000
fitted,102,105,3.12000
fitted,102,106,1.72000
fitted,102,107,0.80000
fitted,102,108,3.50000
fitted,102,109,-1.58000
fitted,102,110,-1.98000
fitted,102,111,1.26000
fitted,102,112,-2.60000
fitted,102,113,0.90000
fitted,102,114,0.64000
fitted,102,115,-3.06000
fitted,102,116,1.04000
fitted,102,117,2.78000
fitted,102,118,-2.32000
fitted,102,119,-2.34000
fitted,102,120,-0.20000
fitted,102,121,-1.18000
fitted,102,122,-3.68000
fitted,102,123,2.28000
fitted,102,124,2.18000
fitted,102,125,-2.64000
fitted,102,126,1.68000
fitted,102,127,0.30000
fitted,102,128,-1.38000
fitted,102,129,-1.58000
fitted,102,130,-1.18000
fitted,102,131,-2.46000
fitted,102,132,-1.22000
fitted,102,133,-1.58000
fitted,102,134,2.70000
fitted,102,135,1.80000
fitted,102,136,1.36000
fitted,102,137,2.78000
fitted,102,138,1.16000
fitted,102,139,-0.36000
fitted,102,140,-1.16000
fitted,102,141,1.24000
fitted,102,142,3.54000
fitted,102,143,-0.36000
fitted,102,144,0.36000
fitted,102,145,2.68000
fitted,102,146,-1.94000
fitted,102,147,-1.34000
fitted,102,148,0.72000
fitted,102,149,-2.40000
fitted,102,150,0.42000
fitted,102,151,0.18000
fitted,102,152,-2.08000
fitted,102,153,-1.88000
fitted,102,154,-1.82000
fitted,102,155,2.62000
fitted,102,156,-0.04000
fitted,102,157,1.12000
fitted,102,158,-3.46000
fitted,102,159,0.82000
fitted,102,160,-1.54000
fitted,102,161,-2.26000
fitted,102,162,-1.28000
fitted,102,163,-1.00000
fitted,102,164,0.76000
fitted,102,165,-1.74000
fitted,102,166,-3.38000
fitted,102,167,-3.64000
fitted,102,168,1.30000
fitted,102,169,-2.80000
fitted,102,170,-3.58000
fitted,102,171,0.56000
fitted,102,172,-0.64000
fitted,102,173,-0.30000
fitted,102,174,-2.40000
fitted,102,175,-0.86000
fitted,102,176,-2.86000
fitted,102,177,0.16000
fitted,102,178,2.06000
fitted,102,179,-1.90000
fitted,103,1,-1.90000
fitted,103,2,-2.42000
fitted,103,3,3.56000
fitted,103,4,2.40000
fitted,103,5,0.06000
fitted,103,6,1.82000
fitted,103,7,3.76000
fitted,103,8,1.82000
fitted,103,9,2.30000
fitted,103,10,-2.06000
fitted,103,11,-0.56000
fitted,103,12,3.40000
fitted,103,13,2.10000
fitted,103,14,-0.42000
fitted,103,15,-2.38000
fitted,103,16,-2.80000
fitted,103,17,3.78000
fitted,103,18,2.94000
fitted,103,19,1.58000
fitted,103,20,1.92000
fitted,103,21,-0.30000
fitted,103,22,-0.92000
fitted,103,23,1.72000
fitted,103,24,1.02000
fitted,103,25,-1.02000
fitted,103,26,-1.06000
fitted,103,27,-1.98000
fitted,103,28,3.68000
fitted,103,29,2.12000
fitted,103,30,3.02000
fitted,103,31,0.94000
fitted,103,32,2.14000
fitted,103,33,-1.78000
fitted,103,34,2.84000
fitted,103,35,3.68000
fitted,103,36,0.42000
fitted,103,37,-0.62000
fitted,103,38,2.66000
fitted,103,39,4.10000
fitted,103,40,2.30000
fitted,103,41,-2.02000
fitted,103,42,-3.40000
fitted,103,43,1.92000
fitted,103,44,1.98000
fitted,103,45,1.16000
fitted,103,46,2.46000
fitted,103,47,1.90000
fitted,103,48,1.08000
fitted,103,49,-0.50000
fitted,103,50,-1.32000
fitted,103,51,2.28000
fitted,103,52,2.14000
fitted,103,53,3.18000
fitted,103,54,-3.42000
fitted,103,55,-1.28000
fitted,103,56,2.38000
fitted,103,57,2.72000
fitted,103,58,-1.18000
fitted,103,59,2.40000
fitted,103,60,4.00000
fitted,103,61,1.30000
fitted,103,62,-1.00000
fitted,103,63,-1.16000
fitted,103,64,3.64000
fitted,103,65,3.30000
fitted,103,66,3.78000
fitted,103,67,2.86000
fitted,103,68,1.86000
fitted,103,69,1.56000
